e1,r,e2
authentication,has_a,SOC
Protocol,has_a,Intrusion Detection System
Encryption,can_detect,access control
replay attack,can_exploit,botnet
scripts,has_a,FTP
OpenSSL,uses,Encryption
PAC,has_a,Public Key Encryption
POP,can_detect,accountability
RAT,has_a,RPKI
Penetration Testing,has_a,ATC
ISI,can_detect,APT
policy,uses,SOC
ISI,uses,Hellman Key Exchange
LEA,can_detect,incident response
IoT,can_exploit,CHAP
HTTPS,has_a,LEA
Schemes like Pretty Good Privacy,is_part_of,Privacy and Online Rights
MAC,can_exploit,Software Security Knowledge Area
LEA,uses,RSA
policy,uses,Protocol
Privileged Access Never,can_detect,Encryption
DES,can_detect,race condition
SOC,is_part_of,APT
access control,uses,ICS
Intrusion Detection System,has_a,HIDS
IDS,can_exploit,IDMEF
policy,uses,CSP
backdoor,has_a,ICS
DVI,has_a,RSA
MPLS,can_detect,Neighbor Discovery Protocol
NIST,has_a,HTTPS
IBE,uses,FIRST
APT,has_a,ISA
NCA,can_detect,encryption
operating systems,has_a,traceroute
ISF,can_detect,IDS
IPS,has_a,ATC
NCA,can_exploit,Tor
DDoS,can_detect,FIRST
Firewall,can_detect,worm
MAC,uses,ECC
DES,implements,Physical Systems Security
CVSS,has_a,Control
ISA,can_exploit,ICS
SMTP,can_exploit,OWE
SOP,is_a,privacy
Level Data Link Control,has_a,Strict Transport Security
Supervisory Control and Data Acquisition,can_exploit,ISI
authentication,can_exploit,HAC
PCI DSS,can_detect,policy
ESP,has_a,CAN
ACC,has_a,Tor
ENISA,can_detect,elliptic curve
AKE,is_a,Digital Signature
ENISA,uses,Http
Level Data Link Control,has_a,accountability
NIST,uses,policy
ARP,has_a,Neighbor Discovery Protocol
botnet,can_exploit,Chosen Message Attack
PKI,uses,LEA
Protocol,has_a,Resolution Protocol
msfconsole,can_analyze,Ubuntu Linux
DSS,can_detect,Authentication Protocol
network scanning,has_a,tool
SMTP,uses,NIST
DRM,can_detect,non-repudiation
MAC,can_detect,Network Functions Virtualisation
Key Value Store,can_exploit,KVS
TLS,can_detect,SMTP
domain socket,can_analyze,log messages
CTI,has_a,KDF
authentication,can_detect,zero trust
RSA,has_a,APT
MAC,can_detect,ATC
An Oblivious Random Access Memory,can_detect,CTI
Pointer Authentication Code,can_detect,Key Derivation Function
Http,has_a,ECC
MITM,can_exploit,Message Authentication Code
Multiprotocol Label Switching,uses,Tor
OpenSSH,can_analyze,telnet service
RFC 793,can_analyze,RST packet
Protocol,has_a,Programmable Logic Controller
Protocol,is_a,Encryption
ESP,can_detect,Extensible Authentication Protocol
SMTP,is_part_of,Protocol
configured,can_analyze,client-server
DHIES,has_a,Distributed Hash Table
RSA,implements,LEA
IPS systems,can_analyze,Network
ATC,has_a,Authentication Header
SHA-256,uses,Tor
IDS,can_exploit,Intrusion Detection
PAC,can_exploit,Network Address Translation
ASONAM,has_a,CAM
Mobile Security Testing Guide,can_detect,MPC
LEA,can_exploit,policy
Point Protocol,can_detect,Level Data Link Control
IoT,can_exploit,side-channel attack
SOC,has_a,LAN
ATC,can_exploit,Discretionary Access Control
race condition,has_a,access control
encryption,has_a,DHT
networking,has_a,Network Functions Virtualisation
Shared Key,has_a,RARP
networking,has_a,ICS
SSL,uses,OpenSSL
OWE,can_exploit,LEA
intrusive,can_harm,target host
Transport Layer Security,can_exploit,policy
SOP,has_a,HTTPS
Decryption,uses,PKI
IoT,has_a,Microsoft Security Development Lifecycle
paranoid option,is_part_of,Nmap
MAC,can_exploit,MD5
RAT,has_a,ISI
Public Key Encryption,uses,Transport Layer Security
ISI,can_detect,networking
FAIR,has_a,Tor
RSA,implements,CSP
access control,can_exploit,Tor
APT,is_part_of,FIRST
non-repudiation,can_exploit,hashing
LEA,can_exploit,The Cyber Security Body
man-in-the-middle,can_exploit,ISI
integrity,is_a,NSA
SOIM,is_part_of,Intrusion Detection System
SOC,can_detect,CTF
Tor,uses,Security Policy
AKE,can_detect,privacy
CAN,uses,Control
Shared Key,has_a,ISI
AKE,has_a,Http
Encapsulation Security Payload,can_detect,The Cyber Security Body
exploit,can_harm,integrity
threat modeling,has_a,HTTPS
Address Resolution Protocol,has_a,Neighbor Discovery Protocol
Nmap,can_analyze,Data
botnet,can_detect,DHT
NL,is_part_of,Privacy and Online Rights
PQC,can_exploit,Tor
denial of service,can_exploit,LEA
privacy,uses,ISI
LAN,is_part_of,ISA
Control,can_detect,policy
elliptic curve,implements,DHIES
client-server,has_a,Syslog
NSS,can_exploit,NIST
botnet,can_exploit,clickjacking
Identity Based Encryption,has_a,Level Data Link Control
KDF,has_a,Based Encryption
policy,has_a,Decryption
YARA,uses,Http
ESP,is_part_of,CAN
Local Area Network,can_exploit,RAT
TPM,can_exploit,TNC
HDLC,can_exploit,Protocol
ESP,has_a,LAN
ICS,uses,Control
KDF,has_a,incident response
Encapsulation Security Payload,can_detect,DSA
Firewall,uses,defend
Authentication Header,has_a,authorization
FLASK,can_detect,FHE
Security Policy,has_a,ICS
IDS,has_a,alarms
Tor,uses,Key Value Store
Protocol,uses,CSP
Control,uses,integrity
incoming,can_analyze,UDP packet
ISI,can_detect,SOC
Tor,uses,DAC
OWASP,can_detect,Tor
AEAD,has_a,AES
HAC,uses,policy
VPN,can_detect,access control
Intrusion Detection,can_exploit,privacy
symmetric encryption,can_detect,IDS
CVE,has_a,DAC
NSA,can_detect,ransomware
policy,has_a,ICS
ISI,can_detect,Protocol
RTP,uses,access control
SMTP,can_exploit,single sign-on
KEK,has_a,Tor
DHIES,has_a,Hellman Key Exchange
HAC,can_detect,authorization
Tor,uses,CTF
SOC,is_part_of,Protocol
CTI,uses,CHAP
PAC,can_detect,privacy
Message Authentication Reporting and Conformance,has_a,Direct Memory Access
NAT,has_a,DVI
APT,has_a,incident response
ABE,can_exploit,Mandatory Access Control
Message Authentication Reporting and Conformance,has_a,Security Extensions
Based Encryption,has_a,access control
HDLC,can_detect,POP
sandboxing,is_part_of,Operating Systems and Virtualisation Security
NAT,can_detect,Intrusion Detection System
Digital Signature Standard,is_part_of,Cryptography
SAST,is_part_of,Secure Software Lifecycle
ransomware,can_harm,availability
HAC,can_exploit,HTTPS
Security and Privacy,has_a,NSA
Trusted Network Connect,has_a,ACL
Metasploit framework,is_part_of,tool
SOP,can_detect,DES
HTTPS,has_a,CNS
Control,is_part_of,NSA
CTF,has_a,security policy
Controller Area Network,can_exploit,ISI
access control,uses,policy
TLS,uses,SHA-1
target,uses,payloads
IBE,can_detect,Encapsulation Security Payload
Hellman Key Exchange,has_a,Distributed Hash Table
DES,implements,Network Address Translation
UCON,uses,RSA
FIPS,can_detect,NIST
firewalls,is_part_of,IDS
Protocol,can_exploit,IDMEF
OpenSSL,uses,NSS
authentication,has_a,accountability
ESP,has_a,ISI
sandboxing,can_detect,APT
SSL,is_part_of,Tor
Network Address Translation,uses,Protocol
access control,can_detect,SAML
CVE,can_detect,command injection
SSL,can_exploit,PKI
tool,uses,system monitoring
symmetric encryption,uses,Http
integrity,can_exploit,PAC
authentication,can_exploit,LEA
RAT,has_a,PPTP
attackers,uses,port scan
PAC,is_a,Network Address Translation
Protocol,can_exploit,non-repudiation
Pointer Authentication Code,is_part_of,"Authentication, Authorisation and Accountability"
TLS,uses,Decryption
threat modeling,is_part_of,HTTPS
PAC,uses,Threat Intelligence
single sign-on,can_exploit,Http
Data Encryption Standard,can_exploit,DES
open source,is_part_of,tool
APT,has_a,Address Resolution Protocol
privacy,can_detect,SSL
Security Policy,can_detect,LEA
Http,can_exploit,Tor
DCS,uses,Programmable Logic Controller
Control,can_detect,OWE
MAC,can_detect,Enhanced Interior Gateway Routing Protocol
POP,can_exploit,APT
Intrusion Detection System,has_a,RAT
incident response,can_detect,GPG
Control,can_detect,Access Control List
CHAP,can_detect,DES
TLS,can_detect,DSKS
IBE,can_detect,SIEM
privacy,uses,RAT
anonymity,can_detect,IPsec
ESP,is_part_of,LAN
ICS,uses,FIRST
SIEM,can_detect,IBE
Industrial Control Systems,can_detect,LEA
identify,can_analyze,vulnerability
Security Policy,is_part_of,ICS
RSA,can_detect,denial of service
"Perform static analysis
security testing",is_part_of,Secure Software Lifecycle
DVI,can_detect,CTI
Nmap,is_part_of,traceroute
access control,is_a,Tor
CMA,can_exploit,separation of duties
Protocol,has_a,ARP
icmp-host-prohibited,can_analyze,ICMP error message
CHAP,has_a,authentication
policy,can_detect,Encryption
IBC,has_a,HSTS
Internet Security Association and Key Management Protocol,has_a,IPsec
setup,has_a,rsyslog
ATC,can_detect,Http
zero trust,can_detect,Encryption
LEA,has_a,availability
High Performance Controller,has_a,HAC
IDS,uses,Intrusion Detection System
asymmetric encryption,uses,LEA
SSL,can_exploit,SQUARE
Control,can_detect,SOP
accountability,uses,CHAP
Common Vulnerability Scoring System,has_a,complete mediation
Encryption,can_exploit,AKA
Http,can_exploit,CAM
symmetric encryption,can_exploit,Opportunistic Wireless Encryption
DES,can_exploit,Suricata
MD5,can_exploit,Tor
ICS,can_detect,Mandatory Access Control
trojan,is_part_of,Hardware Security
Tor,can_detect,DES
Firewall,has_a,MAC
HTTP,has_a,Protocol
IoT,has_a,PAC
